chr	start	end	name	TargetGene	TargetGeneTSS	CellType	ABC.Score
chr9	840229	840729	intergenic|chr9:840229-840729	DMRT1	841689		0.164216
chr9	842343	843581	genic|chr9:842343-843581	DMRT1	841689		0.135784
chr9	1051499	1052323	genic|chr9:1051499-1052323	LINC01230	1048142		0.106656
chr9	1051499	1052323	genic|chr9:1051499-1052323	DMRT2	1050345		0.396849
chr9	2015819	2017118	genic|chr9:2015819-2017118	SMARCA2	2015218		0.373679
chr9	2241030	2242648	intergenic|chr9:2241030-2242648	LINC01230	1048142		0.039460
chr9	4143675	4144500	genic|chr9:4143675-4144500	GLIS3	4152183		0.179418
chr9	4147346	4148410	genic|chr9:4147346-4148410	GLIS3	4152183		0.228788
chr9	4491413	4492020	genic|chr9:4491413-4492020	SLC1A1	4490426		0.074426
chr9	6630445	6631222	genic|chr9:6630445-6631222	GLDC	6645692		0.078661
chr9	6644228	6644728	genic|chr9:6644228-6644728	GLDC	6645692		0.110658
chr9	6680607	6682170	intergenic|chr9:6680607-6682170	UHRF2	6413150		0.038264
chr9	8734673	8735270	intergenic|chr9:8734673-8735270	PTPRD	8733946		0.119876
chr9	8859430	8859930	genic|chr9:8859430-8859930	PTPRD-AS1	8858017		0.064931
chr9	20356257	20357327	genic|chr9:20356257-20357327	MLLT3	20622542		0.085572
chr9	21968127	21968894	genic|chr9:21968127-21968894	CDKN2A-AS1	21967137		0.316302
chr9	21968127	21968894	genic|chr9:21968127-21968894	CDKN2B	22009312		0.047007
chr9	21969467	21969967	genic|chr9:21969467-21969967	CDKN2A-AS1	21967137		0.090087
chr9	21971202	21971702	genic|chr9:21971202-21971702	CDKN2A-AS1	21967137		0.093641
chr9	32378444	32378944	intergenic|chr9:32378444-32378944	ACO1	32384600		0.062887
chr9	32379121	32379710	intergenic|chr9:32379121-32379710	ACO1	32384600		0.124295
chr9	32525007	32525507	genic|chr9:32525007-32525507	DDX58	32526322		0.048545
chr9	34363014	34364328	intergenic|chr9:34363014-34364328	C9orf24	34381598		0.052894
chr9	34379275	34380381	genic|chr9:34379275-34380381	C9orf24	34381598		0.297443
chr9	34457136	34457944	genic|chr9:34457136-34457944	FAM219A	34458568		0.139999
chr9	34457136	34457944	genic|chr9:34457136-34457944	DNAI1	34458749		0.139998
chr9	34466669	34467403	genic|chr9:34466669-34467403	FAM219A	34458568		0.033707
chr9	34466669	34467403	genic|chr9:34466669-34467403	DNAI1	34458749		0.033706
chr9	34513538	34514038	genic|chr9:34513538-34514038	ENHO	34523037		0.037184
chr9	34576897	34579580	genic|chr9:34576897-34579580	CNTFR	34589735		0.092303
chr9	34576897	34579580	genic|chr9:34576897-34579580	RPP25L	34612110		0.037160
chr9	34576897	34579580	genic|chr9:34576897-34579580	DCTN3	34620520		0.083022
chr9	34624396	34626036	genic|chr9:34624396-34626036	DCTN3	34620520		0.460411
chr9	34624396	34626036	genic|chr9:34624396-34626036	ARHGEF39	35665278		0.050124
chr9	34633734	34634234	intergenic|chr9:34633734-34634234	DCTN3	34620520		0.031117
chr9	34700948	34702844	intergenic|chr9:34700948-34702844	CCL19	34691274		0.030281
chr9	35114003	35114779	genic|chr9:35114003-35114779	FAM214B	35115908		0.383553
chr9	35116749	35117249	intergenic|chr9:35116749-35117249	FAM214B	35115908		0.077249
chr9	35293173	35295000	genic|chr9:35293173-35295000	CCL19	34691274		0.040643
chr9	35553439	35554392	genic|chr9:35553439-35554392	FAM166B	35563896		0.095693
chr9	35616939	35617555	genic|chr9:35616939-35617555	CD72	35618424		0.135816
chr9	35733089	35733589	genic|chr9:35733089-35733589	CREB3	35732316		0.051191
chr9	35733089	35733589	genic|chr9:35733089-35733589	TLN1	35732392		0.051191
chr9	35736020	35736520	genic|chr9:35736020-35736520	CREB3	35732316		0.116551
chr9	35736020	35736520	genic|chr9:35736020-35736520	TLN1	35732392		0.116551
chr9	37035109	37036057	intergenic|chr9:37035109-37036057	PAX5	37034476		0.196761
chr9	37036323	37036823	intergenic|chr9:37036323-37036823	PAX5	37034476		0.112605
chr9	37466146	37466826	intergenic|chr9:37466146-37466826	ZBTB5	37465407		0.233306
chr9	37574361	37574861	genic|chr9:37574361-37574861	FBXO10	37576250		0.097792
chr9	37582493	37582993	intergenic|chr9:37582493-37582993	FBXO10	37576250		0.045004
chr9	37801478	37801978	genic|chr9:37801478-37801978	DCAF10	37800782		0.067022
chr9	37913521	37914338	intergenic|chr9:37913521-37914338	SLC25A51	37904350		0.112271
chr9	37913521	37914338	intergenic|chr9:37913521-37914338	IGFBPL1	38424444		0.036901
chr9	38421416	38422377	genic|chr9:38421416-38422377	IGFBPL1	38424444		0.058167
chr9	71321532	71322032	genic|chr9:71321532-71322032	PIP5K1B	71320329		0.105688
chr9	71400451	71400951	genic|chr9:71400451-71400951	FAM122A	71394921		0.036118
chr9	71651205	71651705	genic|chr9:71651205-71651705	FXN	71650478		0.106532
chr9	73033447	73036136	intergenic|chr9:73033447-73036136	KLF9	73029573		0.036808
chr9	74763221	74763721	intergenic|chr9:74763221-74763721	GDA	74764266		0.085190
chr9	77703954	77704454	genic|chr9:77703954-77704454	NMRK1	77703133		0.031869
chr9	77703954	77704454	genic|chr9:77703954-77704454	OSTF1	77703397		0.031869
chr9	82276645	82278639	genic|chr9:82276645-82278639	TLE4	82186687		0.031502
chr9	82577621	82578289	intergenic|chr9:82577621-82578289	LINC01507	82589937		0.036549
